============================================================
  PROFILE: V1  (200 iterations)
============================================================

--- Top by cumulative time ---
         1808844 function calls (1492577 primitive calls) in 0.361 seconds

   Ordered by: cumulative time
   List reduced from 50 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.361    0.002 profile_agents.py:35(one_iteration_v1)
      200    0.022    0.000    0.235    0.001 MCTSV1.py:85(_simulate)
200438/400    0.105    0.000    0.219    0.001 copy.py:119(deepcopy)
  800/400    0.002    0.000    0.218    0.001 copy.py:248(_reconstruct)
      400    0.001    0.000    0.215    0.001 copy.py:218(_deepcopy_dict)
     1600    0.041    0.000    0.206    0.000 copy.py:192(_deepcopy_list)
      200    0.001    0.000    0.113    0.001 MCTSNodeV1.py:34(expand)
    20927    0.022    0.000    0.077    0.000 DisjointSetBoardV1.py:43(place)
     1600    0.000    0.000    0.051    0.000 copy.py:253(<genexpr>)
   401276    0.032    0.000    0.032    0.000 {method 'get' of 'dict' objects}
    21527    0.011    0.000    0.031    0.000 DisjointSetBoardV1.py:69(check_winner)
249940/143750    0.031    0.000    0.031    0.000 DisjointSetBoardV1.py:82(_find)
    20727    0.008    0.000    0.022    0.000 random.py:345(choice)
    29013    0.010    0.000    0.021    0.000 DisjointSetBoardV1.py:88(_union)
   218765    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
   206438    0.013    0.000    0.013    0.000 {built-in method builtins.id}
    20927    0.007    0.000    0.011    0.000 random.py:245(_randbelow_with_getrandbits)
      200    0.000    0.000    0.011    0.000 MCTSV1.py:62(_select)
       81    0.000    0.000    0.011    0.000 MCTSV1.py:70(_uct_select)
  9720/81    0.002    0.000    0.011    0.000 {built-in method builtins.max}



--- Top by total time ---
         1808844 function calls (1492577 primitive calls) in 0.361 seconds

   Ordered by: internal time
   List reduced from 50 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
200438/400    0.105    0.000    0.219    0.001 copy.py:119(deepcopy)
     1600    0.041    0.000    0.206    0.000 copy.py:192(_deepcopy_list)
   401276    0.032    0.000    0.032    0.000 {method 'get' of 'dict' objects}
249940/143750    0.031    0.000    0.031    0.000 DisjointSetBoardV1.py:82(_find)
      200    0.022    0.000    0.235    0.001 MCTSV1.py:85(_simulate)
    20927    0.022    0.000    0.077    0.000 DisjointSetBoardV1.py:43(place)
   218765    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
   206438    0.013    0.000    0.013    0.000 {built-in method builtins.id}
    21527    0.011    0.000    0.031    0.000 DisjointSetBoardV1.py:69(check_winner)
   197638    0.010    0.000    0.010    0.000 copy.py:173(_deepcopy_atomic)
    29013    0.010    0.000    0.021    0.000 DisjointSetBoardV1.py:88(_union)
    20727    0.008    0.000    0.022    0.000 random.py:345(choice)
    20927    0.007    0.000    0.011    0.000 random.py:245(_randbelow_with_getrandbits)
     9639    0.005    0.000    0.007    0.000 MCTSV1.py:72(uct_rave)
    42335    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    20927    0.003    0.000    0.003    0.000 Colour.py:44(opposite)
      200    0.002    0.000    0.002    0.000 MCTSV1.py:102(_backpropagate)
    20927    0.002    0.000    0.002    0.000 {method 'remove' of 'set' objects}
  800/400    0.002    0.000    0.218    0.001 copy.py:248(_reconstruct)
  9720/81    0.002    0.000    0.011    0.000 {built-in method builtins.max}
